Timestamp,Meet_Recruiter,Age_Joined,Year_Joined,Years_Service,Education_Level,Parents_Ed_Level,Financial_Status,Enlisted_Officer,Join_Motivation,Ethnicity,Gender,,,,
11/1/2019 8:51:20,Coincidental encounter,18-20,2002,Less than 6,Completed High School,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:51:54,Coincidental encounter,24-26,2013,6 to 8 years,4 Year Degree,Master's degree,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:52:08,Coincidental encounter,18-20,2015,Less than 6,Some College,4 year degree,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:52:31,Coincidental encounter,18-20,1996,Currently Serving,Some College,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:52:36,Coincidental encounter,18-20,1996,Currently Serving,Some College,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:53:56,Coincidental encounter,27+,1973,18 to 20 years,Doctorate,Did not complete high school / GED,Upper Class (Top 20%),Officer,Patriotism,American Indian or Alaskan Native,Other,,,,
11/1/2019 8:55:52,Coincidental encounter,18-20,1975,Greater than 20 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:57:28,Coincidental encounter,18-20,2014,Currently Serving,Completed High School,Did not complete high school / GED,Middle Class,Enlisted,Patriotism,Hispanic / Latino,Male,,,,
11/1/2019 8:58:43,Coincidental encounter,18-20,2000,12 to 14 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:00:03,Coincidental encounter,21-23,2016,Less than 6,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Black,Female,,,,
11/1/2019 9:01:03,Coincidental encounter,18-20,1991,Less than 6,Some College,Master's degree,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:02:24,Coincidental encounter,18-20,2011,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:09:08,Coincidental encounter,18-20,2018,Currently Serving,Some College,4 year degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 9:11:38,Coincidental encounter,18-20,1991,Greater than 20 years,4 Year Degree,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 9:12:18,Coincidental encounter,21-23,2015,Currently Serving,4 Year Degree,Master's degree,Middle Class,Officer,Patriotism,Caucasian,Male,,,,
11/1/2019 9:14:19,Coincidental encounter,18-20,1988,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:19:15,Coincidental encounter,18-20,2018,Currently Serving,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:19:27,Coincidental encounter,21-23,1997,6 to 8 years,Some College,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:19:52,Coincidental encounter,21-23,1999,12 to 14 years,Some College,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:23:03,Coincidental encounter,18-20,1998,9 to 11 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:24:16,Coincidental encounter,18-20,2017,Currently Serving,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:24:19,Coincidental encounter,18-20,1983,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 9:25:15,Coincidental encounter,24-26,2013,6 to 8 years,Master's Degree,Doctorate,Upper Class (Top 20%),Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:25:16,Coincidental encounter,18-20,1996,6 to 8 years,Completed High School,2 year degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:26:18,Coincidental encounter,18-20,2006,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:28:08,Coincidental encounter,18-20,2004,6 to 8 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:30:52,Coincidental encounter,21-23,2002,6 to 8 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Hispanic / Latino,Male,,,,
11/1/2019 9:31:57,Coincidental encounter,24-26,2014,Currently Serving,4 Year Degree,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Hispanic / Latino,Female,,,,
11/1/2019 9:32:50,Coincidental encounter,18-20,2013,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:33:26,Coincidental encounter,18-20,2003,9 to 11 years,Completed High School,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:35:08,Coincidental encounter,18-20,2007,Currently Serving,Completed High School,4 year degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:41:01,I got up with them,21-23,2012,6 to 8 years,Some College,4 year degree,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:11:11,,18-20,2019,Less than 6,Some College,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:38:23,I got up with them,18-20,1980,9 to 11 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:05:17,I got up with them,18-20,1992,Greater than 20 years,Some College,Some college,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:22:15,I got up with them,18-20,1997,9 to 11 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,American Indian or Alaskan Native,Male,,,,
11/1/2019 8:47:25,I got up with them,18-20,1997,Greater than 20 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:51:34,I got up with them,18-20,1997,9 to 11 years,Some College,Some college,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:09:25,,18-20,2006,Less than 6,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:12:05,Someone else put us in contact,21-23,1979,6 to 8 years,4 Year Degree,Completed High School,Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:26:23,I got up with them,27+,1962,15 to 17 years,4 Year Degree,Doctorate,Lower Middle Class,Officer,Family Tradition,Native Hawaiian or Pacific Islander,Other,,,,
11/1/2019 14:04:19,I got up with them,18-20,1966,Less than 6,Some College,Completed High School,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 14:20:57,I got up with them,18-20,1967,Greater than 20 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,,,,,
11/1/2019 15:47:20,I got up with them,18-20,1967,12 to 14 years,Completed High School,Master's degree,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 11:13:53,I got up with them,18-20,1968,6 to 8 years,Completed High School,Completed High School,Prefer not to answer,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:36:22,,21-23,1968,9 to 11 years,4 Year Degree,4 year degree,Prefer not to answer,Officer,Patriotism,Caucasian,Male,,,,
11/1/2019 8:57:18,I got up with them,21-23,1969,Greater than 20 years,4 Year Degree,Master's degree,Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:28:54,I got up with them,21-23,1969,Greater than 20 years,Some College,Some college,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:07:02,I got up with them,18-20,1970,Greater than 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 14:42:03,I got up with them,21-23,1970,9 to 11 years,Some College,Completed High School,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:24:42,I got up with them,18-20,1971,Greater than 20 years,Completed High School,4 year degree,Upper Middle Class,Enlisted,Family Tradition,,Male,,,,
11/1/2019 15:49:53,I got up with them,21-23,1971,Greater than 20 years,Some College,Completed High School,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:17:05,,18-20,1971,12 to 14 years,Some College,Some college,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:04:24,I got up with them,18-20,1972,9 to 11 years,Some College,4 year degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 11:13:51,I got up with them,18-20,1972,Greater than 20 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:50:42,I got up with them,18-20,1973,6 to 8 years,Some College,Completed High School,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:04:22,I got up with them,21-23,1973,Greater than 20 years,Some College,Some college,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 15:19:33,I got up with them,21-23,1973,Greater than 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:50:45,I got up with them,18-20,1974,18 to 20 years,Completed High School,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:56:22,I got up with them,18-20,1974,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 13:17:33,I got up with them,18-20,1974,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 16:19:50,I got up with them,18-20,1974,6 to 8 years,Some College,Did not complete high school / GED,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:21:53,I got up with them,21-23,1975,6 to 8 years,Some College,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:58:05,I got up with them,18-20,1975,Greater than 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 11:45:22,I got up with them,18-20,1975,18 to 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 16:02:48,I got up with them,,1975,Greater than 20 years,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:21:22,Someone else put us in contact,18-20,1975,6 to 8 years,2 Year Degree,Completed High School,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:57:43,They got up with me,18-20,1975,18 to 20 years,Some College,Did not complete high school / GED,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:28:26,I got up with them,18-20,1976,Greater than 20 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 12:33:11,I got up with them,18-20,1976,Greater than 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:49:06,I got up with them,18-20,1976,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 15:18:59,I got up with them,18-20,1976,Greater than 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 15:49:48,I got up with them,18-20,1976,Less than 6,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:07:32,,18-20,1976,Greater than 20 years,Some College,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:08:27,,18-20,1976,18 to 20 years,Completed High School,Some college,Middle Class,Enlisted,Hardest thing I could find as failed USNA applicant,Caucasian,Male,,,,
11/1/2019 9:20:07,I got up with them,18-20,1977,15 to 17 years,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:03:37,I got up with them,18-20,1977,Greater than 20 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:17:55,I got up with them,18-20,1977,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:34:11,I got up with them,18-20,1977,12 to 14 years,Completed High School,4 year degree,Lower Class (Bottom 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 14:43:03,I got up with them,18-20,1977,18 to 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:28:29,Someone else put us in contact,18-20,1977,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:57:15,I got up with them,18-20,1978,Greater than 20 years,Completed High School,Completed High School,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 13:40:32,Someone else put us in contact,18-20,1978,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:10:59,,21-23,1978,15 to 17 years,2 Year Degree,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:19:29,Coincidental encounter,18-20,1979,9 to 11 years,Completed High School,4 year degree,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:36:44,I got up with them,18-20,1979,6 to 8 years,Some College,Did not complete high school / GED,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:48:28,I got up with them,21-23,1979,15 to 17 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:03:12,I got up with them,18-20,1979,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:05:47,,18-20,1979,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:27:29,I got up with them,18-20,1980,Greater than 20 years,Some College,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:37:29,I got up with them,18-20,1980,Less than 6,Completed High School,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 9:24:17,I got up with them,21-23,1980,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:44:53,I got up with them,21-23,1980,Less than 6,4 Year Degree,Master's degree,Middle Class,Officer,Family Tradition,Caucasian,Male,,,,
11/1/2019 13:40:37,They got up with me,24-26,1980,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:07:01,,18-20,1980,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 10:22:39,I don't remember / Prefer not to answer,18-20,1981,6 to 8 years,Some College,Completed High School,Middle Class,Enlisted,Family Tradition,Hispanic / Latino,Male,,,,
11/1/2019 8:23:42,I got up with them,21-23,1981,Greater than 20 years,4 Year Degree,4 year degree,Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:00:01,I got up with them,18-20,1981,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:53:17,I got up with them,18-20,1981,6 to 8 years,Completed High School,2 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 16:49:49,I got up with them,18-20,1981,18 to 20 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:35:06,They got up with me,18-20,1981,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:01:02,,18-20,1981,Greater than 20 years,Some College,4 year degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:06:09,,18-20,1981,Greater than 20 years,Completed High School,Some college,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:26:46,I got up with them,18-20,1982,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:26:48,I got up with them,21-23,1982,9 to 11 years,4 Year Degree,4 year degree,Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:31:29,I got up with them,18-20,1982,Greater than 20 years,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:46:40,I got up with them,18-20,1982,6 to 8 years,Completed High School,Master's degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:50:12,I got up with them,18-20,1982,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:52:24,I got up with them,18-20,1982,6 to 8 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:57:44,I got up with them,21-23,1982,Greater than 20 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:11:50,I got up with them,18-20,1982,18 to 20 years,Completed High School,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:33:20,I got up with them,18-20,1982,6 to 8 years,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:20:24,I got up with them,21-23,1982,Greater than 20 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:40:02,Someone else put us in contact,21-23,1982,6 to 8 years,Some College,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:17:12,Someone else put us in contact,18-20,1982,6 to 8 years,Some College,Did not complete high school / GED,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:51:51,Coincidental encounter,18-20,1983,6 to 8 years,Completed High School,Some college,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:51:15,I got up with them,18-20,1983,18 to 20 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:07:29,I got up with them,18-20,1983,9 to 11 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:46:15,I got up with them,21-23,1983,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:54:02,I got up with them,18-20,1983,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 13:32:44,I got up with them,21-23,1983,Greater than 20 years,4 Year Degree,Master's degree,Middle Class,Officer,Patriotism,Caucasian,Male,,,,
11/1/2019 14:46:24,I got up with them,18-20,1983,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:25:05,I got up with them,18-20,1984,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:03:53,I got up with them,18-20,1984,12 to 14 years,Some College,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:31:30,I got up with them,18-20,1984,6 to 8 years,Completed High School,Completed High School,,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 11:40:09,I got up with them,24-26,1984,9 to 11 years,Some College,Some college,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 16:30:30,I got up with them,21-23,1984,6 to 8 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:27:05,Someone else put us in contact,18-20,1984,6 to 8 years,2 Year Degree,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Prefer not to answer,Male,,,,
11/1/2019 16:17:42,Someone else put us in contact,18-20,1984,6 to 8 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 16:23:15,Someone else put us in contact,18-20,1984,9 to 11 years,Completed High School,Master's degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:01:35,,21-23,1984,Greater than 20 years,Some College,4 year degree,Upper Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:11:02,,18-20,1984,6 to 8 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:58:47,Coincidental encounter,18-20,1985,6 to 8 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:07:07,I got up with them,24-26,1985,Greater than 20 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:08:43,I got up with them,18-20,1985,6 to 8 years,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:41:02,I got up with them,18-20,1985,6 to 8 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:41:26,I got up with them,21-23,1985,6 to 8 years,4 Year Degree,4 year degree,Middle Class,Officer,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:44:52,I got up with them,18-20,1985,6 to 8 years,Completed High School,Completed High School,Upper Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:01:54,I got up with them,18-20,1985,12 to 14 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:25:41,I got up with them,18-20,1985,Greater than 20 years,Completed High School,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 11:03:56,I got up with them,18-20,1985,Greater than 20 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:15:59,I got up with them,21-23,1985,Greater than 20 years,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:29:01,I got up with them,21-23,1985,9 to 11 years,Some College,Did not complete high school / GED,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
